Shift + A | 6/26/2025 11:41:27 AM
H | 6/26/2025 11:41:27 AM
D | 6/26/2025 11:41:27 AM
I | 6/26/2025 11:41:27 AM
Space | 6/26/2025 11:41:27 AM
H | 6/26/2025 11:41:27 AM
A | 6/26/2025 11:41:27 AM
B | 6/26/2025 11:41:27 AM
I | 6/26/2025 11:41:27 AM
H | 6/26/2025 11:41:28 AM
G | 6/26/2025 11:41:28 AM
U | 6/26/2025 11:41:28 AM
E | 6/26/2025 11:41:28 AM
R | 6/26/2025 11:41:28 AM
I | 6/26/2025 11:41:28 AM
G | 6/26/2025 11:41:28 AM
H | 6/26/2025 11:41:28 AM
I | 6/26/2025 11:41:28 AM
E | 6/26/2025 11:41:28 AM
U | 6/26/2025 11:41:28 AM
G | 6/26/2025 11:41:28 AM
W | 6/26/2025 11:41:28 AM
E | 6/26/2025 11:41:28 AM
R | 6/26/2025 11:41:28 AM
G | 6/26/2025 11:41:29 AM
H | 6/26/2025 11:41:29 AM
K | 6/26/2025 11:41:29 AM
J | 6/26/2025 11:41:29 AM
D | 6/26/2025 11:41:29 AM
F | 6/26/2025 11:41:29 AM
H | 6/26/2025 11:41:29 AM
J | 6/26/2025 11:41:29 AM
D | 6/26/2025 11:41:29 AM
F | 6/26/2025 11:41:29 AM
H | 6/26/2025 11:41:29 AM
D | 6/26/2025 11:41:29 AM
F | 6/26/2025 11:41:29 AM
H | 6/26/2025 11:41:29 AM
J | 6/26/2025 11:41:29 AM
D | 6/26/2025 11:41:30 AM
F | 6/26/2025 11:41:30 AM
J | 6/26/2025 11:41:30 AM
G | 6/26/2025 11:41:30 AM
H | 6/26/2025 11:41:30 AM
J | 6/26/2025 11:41:30 AM
H | 6/26/2025 11:41:30 AM
J | 6/26/2025 11:41:30 AM
J | 6/26/2025 11:41:30 AM
K | 6/26/2025 11:41:30 AM
H | 6/26/2025 11:41:30 AM
H | 6/26/2025 11:41:31 AM
J | 6/26/2025 11:41:31 AM
H | 6/26/2025 11:41:31 AM
D | 6/26/2025 11:41:31 AM
G | 6/26/2025 11:41:31 AM
H | 6/26/2025 11:41:31 AM
G | 6/26/2025 11:41:32 AM
H | 6/26/2025 11:41:32 AM
H | 6/26/2025 11:41:32 AM
N | 6/26/2025 11:41:33 AM
B | 6/26/2025 11:41:33 AM
J | 6/26/2025 11:41:33 AM
K | 6/26/2025 11:41:33 AM
N | 6/26/2025 11:41:33 AM
J | 6/26/2025 11:41:33 AM
K | 6/26/2025 11:41:33 AM
D | 6/26/2025 11:41:33 AM
B | 6/26/2025 11:41:33 AM
N | 6/26/2025 11:41:33 AM
J | 6/26/2025 11:41:33 AM
K | 6/26/2025 11:41:33 AM
G | 6/26/2025 11:41:33 AM
B | 6/26/2025 11:41:33 AM
N | 6/26/2025 11:41:33 AM
F | 6/26/2025 11:41:34 AM
J | 6/26/2025 11:41:34 AM
K | 6/26/2025 11:41:34 AM
B | 6/26/2025 11:41:34 AM
N | 6/26/2025 11:41:34 AM
F | 6/26/2025 11:41:34 AM
G | 6/26/2025 11:41:34 AM
D | 6/26/2025 11:41:34 AM
J | 6/26/2025 11:41:34 AM
K | 6/26/2025 11:41:34 AM
B | 6/26/2025 11:41:34 AM
LControlKey | 6/26/2025 11:41:55 AM
Ctrl + LControlKey | 6/26/2025 11:41:55 AM
Ctrl + LControlKey | 6/26/2025 11:41:55 AM
Ctrl + A | 6/26/2025 11:41:55 AM
Back | 6/26/2025 11:41:56 AM
LControlKey | 6/26/2025 11:41:58 AM
Ctrl + A | 6/26/2025 11:41:58 AM
Back | 6/26/2025 11:41:59 AM
E | 6/26/2025 11:42:21 AM
G | 6/26/2025 11:42:21 AM
R | 6/26/2025 11:42:21 AM
G | 6/26/2025 11:42:21 AM
R | 6/26/2025 11:42:21 AM
E | 6/26/2025 11:42:21 AM
G | 6/26/2025 11:42:21 AM
R | 6/26/2025 11:42:22 AM
E | 6/26/2025 11:42:22 AM
G | 6/26/2025 11:42:22 AM
E | 6/26/2025 11:42:22 AM
R | 6/26/2025 11:42:22 AM
G | 6/26/2025 11:42:22 AM
E | 6/26/2025 11:42:22 AM
R | 6/26/2025 11:42:22 AM
G | 6/26/2025 11:42:23 AM
Y | 6/26/2025 11:42:23 AM
R | 6/26/2025 11:42:28 AM
T | 6/26/2025 11:42:28 AM
H | 6/26/2025 11:42:28 AM
R | 6/26/2025 11:42:28 AM
E | 6/26/2025 11:42:28 AM
H | 6/26/2025 11:42:28 AM
E | 6/26/2025 11:42:28 AM
R | 6/26/2025 11:42:29 AM
H | 6/26/2025 11:42:29 AM
E | 6/26/2025 11:42:29 AM
R | 6/26/2025 11:42:29 AM
T | 6/26/2025 11:42:29 AM
H | 6/26/2025 11:42:29 AM
E | 6/26/2025 11:42:29 AM
R | 6/26/2025 11:42:29 AM
H | 6/26/2025 11:42:29 AM
R | 6/26/2025 11:42:29 AM
E | 6/26/2025 11:42:29 AM
T | 6/26/2025 11:42:29 AM
H | 6/26/2025 11:42:29 AM
R | 6/26/2025 11:42:30 AM
T | 6/26/2025 11:42:30 AM
H | 6/26/2025 11:42:34 AM
R | 6/26/2025 11:42:34 AM
T | 6/26/2025 11:42:34 AM
H | 6/26/2025 11:42:34 AM
E | 6/26/2025 11:42:34 AM
R | 6/26/2025 11:42:34 AM
H | 6/26/2025 11:42:35 AM
NumPad3 | 6/26/2025 11:42:36 AM
NumPad8 | 6/26/2025 11:42:36 AM
NumPad6 | 6/26/2025 11:42:36 AM
NumPad5 | 6/26/2025 11:42:36 AM
NumPad4 | 6/26/2025 11:42:36 AM
NumPad3 | 6/26/2025 11:42:36 AM
NumPad5 | 6/26/2025 11:42:36 AM
Enter | 6/26/2025 11:42:37 AM
Space | 6/26/2025 11:42:55 AM
Right | 6/26/2025 11:42:58 AM
Down | 6/26/2025 11:42:59 AM
Up | 6/26/2025 11:42:59 AM
LControlKey | 6/26/2025 11:43:03 AM
LWin | 6/26/2025 11:43:30 AM
RShiftKey | 6/26/2025 11:43:31 AM
Shift + T | 6/26/2025 11:43:31 AM
A | 6/26/2025 11:43:31 AM
S | 6/26/2025 11:43:31 AM
K | 6/26/2025 11:43:31 AM
Enter | 6/26/2025 11:43:32 AM
G | 6/26/2025 11:43:47 AM
I | 6/26/2025 11:43:48 AM
T | 6/26/2025 11:43:48 AM
H | 6/26/2025 11:43:48 AM
Enter | 6/26/2025 11:43:49 AM
RShiftKey | 6/26/2025 11:44:38 AM
Shift + A | 6/26/2025 11:44:38 AM
D | 6/26/2025 11:44:39 AM
D | 6/26/2025 11:44:39 AM
Space | 6/26/2025 11:44:40 AM
RShiftKey | 6/26/2025 11:44:40 AM
Shift + C | 6/26/2025 11:44:40 AM
O | 6/26/2025 11:44:40 AM
D | 6/26/2025 11:44:41 AM
E | 6/26/2025 11:44:41 AM
S | 6/26/2025 11:44:41 AM
Space | 6/26/2025 11:44:42 AM
RShiftKey | 6/26/2025 11:44:42 AM
Shift + O | 6/26/2025 11:44:42 AM
F | 6/26/2025 11:44:42 AM
Space | 6/26/2025 11:44:42 AM
RShiftKey | 6/26/2025 11:44:43 AM
Shift + R | 6/26/2025 11:44:44 AM
U | 6/26/2025 11:44:44 AM
N | 6/26/2025 11:44:44 AM
Space | 6/26/2025 11:44:45 AM
RShiftKey | 6/26/2025 11:44:45 AM
Shift + A | 6/26/2025 11:44:46 AM
U | 6/26/2025 11:44:46 AM
T | 6/26/2025 11:44:46 AM
O | 6/26/2025 11:44:46 AM
RShiftKey | 6/26/2025 11:44:46 AM
Shift + M | 6/26/2025 11:44:47 AM
A | 6/26/2025 11:44:47 AM
T | 6/26/2025 11:44:47 AM
I | 6/26/2025 11:44:47 AM
C | 6/26/2025 11:44:48 AM
Space | 6/26/2025 11:44:48 AM
RShiftKey | 6/26/2025 11:44:48 AM
Shift + A | 6/26/2025 11:44:49 AM
N | 6/26/2025 11:44:49 AM
D | 6/26/2025 11:44:49 AM
Space | 6/26/2025 11:44:49 AM
RShiftKey | 6/26/2025 11:44:51 AM
Shift + I | 6/26/2025 11:44:51 AM
N | 6/26/2025 11:44:51 AM
Space | 6/26/2025 11:44:51 AM
RShiftKey | 6/26/2025 11:44:52 AM
Shift + B | 6/26/2025 11:44:52 AM
A | 6/26/2025 11:44:52 AM
C | 6/26/2025 11:44:52 AM
K | 6/26/2025 11:44:53 AM
RShiftKey | 6/26/2025 11:44:53 AM
Shift + G | 6/26/2025 11:44:53 AM
R | 6/26/2025 11:44:54 AM
O | 6/26/2025 11:44:54 AM
U | 6/26/2025 11:44:54 AM
N | 6/26/2025 11:44:55 AM
D | 6/26/2025 11:44:55 AM
LControlKey | 6/26/2025 11:44:55 AM
Ctrl + A | 6/26/2025 11:44:56 AM
